Id,src,dst,sport,dport,flowsize,startTimeslot,broadcast
67,h3,h4,10067,20067,128,-4,
68,h4,h5,10068,20068,128,-4,
69,h5,h6,10069,20069,128,-4,
70,h6,h7,10070,20070,128,-4,
71,h7,h8,10071,20071,128,-4,
72,h8,h9,10072,20072,128,-4,
73,h9,h10,10073,20073,128,-4,
74,h10,h11,10074,20074,128,-4,
75,h11,h12,10075,20075,128,-4,
76,h12,h13,10076,20076,128,-4,
77,h13,h14,10077,20077,128,-4,
78,h14,h15,10078,20078,128,-4,
79,h15,h16,10079,20079,128,-4,
80,h16,h1,10080,20080,128,-4,
81,h1,h2,10081,20081,128,-5,
82,h2,h3,10082,20082,128,-5,
83,h3,h4,10083,20083,128,-5,
84,h4,h5,10084,20084,128,-5,
85,h5,h6,10085,20085,128,-5,
86,h6,h7,10086,20086,128,-5,
87,h7,h8,10087,20087,128,-5,
88,h8,h9,10088,20088,128,-5,
89,h9,h10,10089,20089,128,-5,
90,h10,h11,10090,20090,128,-5,
91,h11,h12,10091,20091,128,-5,
92,h12,h13,10092,20092,128,-5,
93,h13,h14,10093,20093,128,-5,
94,h14,h15,10094,20094,128,-5,
95,h15,h16,10095,20095,128,-5,
96,h16,h1,10096,20096,128,-5,
97,h1,h2,10097,20097,128,-6,
98,h2,h3,10098,20098,128,-6,
99,h3,h4,10099,20099,128,-6,
100,h4,h5,10100,20100,128,-6,
101,h5,h6,10101,20101,128,-6,
102,h6,h7,10102,20102,128,-6,
103,h7,h8,10103,20103,128,-6,
104,h8,h9,10104,20104,128,-6,
105,h9,h10,10105,20105,128,-6,
106,h10,h11,10106,20106,128,-6,
107,h11,h12,10107,20107,128,-6,
108,h12,h13,10108,20108,128,-6,
109,h13,h14,10109,20109,128,-6,
110,h14,h15,10110,20110,128,-6,
111,h15,h16,10111,20111,128,-6,
112,h16,h1,10112,20112,128,-6,
113,h1,h2,10113,20113,128,-7,
114,h2,h3,10114,20114,128,-7,
115,h3,h4,10115,20115,128,-7,
116,h4,h5,10116,20116,128,-7,
117,h5,h6,10117,20117,128,-7,
118,h6,h7,10118,20118,128,-7,
119,h7,h8,10119,20119,128,-7,
120,h8,h9,10120,20120,128,-7,
121,h9,h10,10121,20121,128,-7,
122,h10,h11,10122,20122,128,-7,
123,h11,h12,10123,20123,128,-7,
124,h12,h13,10124,20124,128,-7,
125,h13,h14,10125,20125,128,-7,
126,h14,h15,10126,20126,128,-7,
127,h15,h16,10127,20127,128,-7,
128,h16,h1,10128,20128,128,-7,
129,h1,h2,10129,20129,128,-8,
130,h2,h3,10130,20130,128,-8,
131,h3,h4,10131,20131,128,-8,
132,h4,h5,10132,20132,128,-8,
133,h5,h6,10133,20133,128,-8,
134,h6,h7,10134,20134,128,-8,
135,h7,h8,10135,20135,128,-8,
136,h8,h9,10136,20136,128,-8,
137,h9,h10,10137,20137,128,-8,
138,h10,h11,10138,20138,128,-8,
139,h11,h12,10139,20139,128,-8,
140,h12,h13,10140,20140,128,-8,
141,h13,h14,10141,20141,128,-8,
142,h14,h15,10142,20142,128,-8,
143,h15,h16,10143,20143,128,-8,
144,h16,h1,10144,20144,128,-8,
145,h1,h2,10145,20145,128,-9,
146,h2,h3,10146,20146,128,-9,
147,h3,h4,10147,20147,128,-9,
148,h4,h5,10148,20148,128,-9,
149,h5,h6,10149,20149,128,-9,
150,h6,h7,10150,20150,128,-9,
151,h7,h8,10151,20151,128,-9,
152,h8,h9,10152,20152,128,-9,
153,h9,h10,10153,20153,128,-9,
154,h10,h11,10154,20154,128,-9,
155,h11,h12,10155,20155,128,-9,
156,h12,h13,10156,20156,128,-9,
157,h13,h14,10157,20157,128,-9,
158,h14,h15,10158,20158,128,-9,
159,h15,h16,10159,20159,128,-9,
160,h16,h1,10160,20160,128,-9,
161,h1,h2,10161,20161,128,-10,
162,h2,h3,10162,20162,128,-10,
163,h3,h4,10163,20163,128,-10,
164,h4,h5,10164,20164,128,-10,
165,h5,h6,10165,20165,128,-10,
166,h6,h7,10166,20166,128,-10,
167,h7,h8,10167,20167,128,-10,
168,h8,h9,10168,20168,128,-10,
169,h9,h10,10169,20169,128,-10,
170,h10,h11,10170,20170,128,-10,
171,h11,h12,10171,20171,128,-10,
172,h12,h13,10172,20172,128,-10,
173,h13,h14,10173,20173,128,-10,
174,h14,h15,10174,20174,128,-10,
175,h15,h16,10175,20175,128,-10,
176,h16,h1,10176,20176,128,-10,
177,h1,h2,10177,20177,128,-11,
178,h2,h3,10178,20178,128,-11,
179,h3,h4,10179,20179,128,-11,
180,h4,h5,10180,20180,128,-11,
181,h5,h6,10181,20181,128,-11,
182,h6,h7,10182,20182,128,-11,
183,h7,h8,10183,20183,128,-11,
184,h8,h9,10184,20184,128,-11,
185,h9,h10,10185,20185,128,-11,
186,h10,h11,10186,20186,128,-11,
187,h11,h12,10187,20187,128,-11,
188,h12,h13,10188,20188,128,-11,
189,h13,h14,10189,20189,128,-11,
190,h14,h15,10190,20190,128,-11,
191,h15,h16,10191,20191,128,-11,
192,h16,h1,10192,20192,128,-11,
193,h1,h2,10193,20193,128,-12,
194,h2,h3,10194,20194,128,-12,
195,h3,h4,10195,20195,128,-12,
196,h4,h5,10196,20196,128,-12,
197,h5,h6,10197,20197,128,-12,
198,h6,h7,10198,20198,128,-12,
199,h7,h8,10199,20199,128,-12,
200,h8,h9,10200,20200,128,-12,
201,h9,h10,10201,20201,128,-12,
202,h10,h11,10202,20202,128,-12,
203,h11,h12,10203,20203,128,-12,
204,h12,h13,10204,20204,128,-12,
205,h13,h14,10205,20205,128,-12,
206,h14,h15,10206,20206,128,-12,
207,h15,h16,10207,20207,128,-12,
208,h16,h1,10208,20208,128,-12,
209,h1,h2,10209,20209,128,-13,
210,h2,h3,10210,20210,128,-13,
211,h3,h4,10211,20211,128,-13,
212,h4,h5,10212,20212,128,-13,
213,h5,h6,10213,20213,128,-13,
214,h6,h7,10214,20214,128,-13,
215,h7,h8,10215,20215,128,-13,
216,h8,h9,10216,20216,128,-13,
217,h9,h10,10217,20217,128,-13,
218,h10,h11,10218,20218,128,-13,
219,h11,h12,10219,20219,128,-13,
220,h12,h13,10220,20220,128,-13,
221,h13,h14,10221,20221,128,-13,
222,h14,h15,10222,20222,128,-13,
223,h15,h16,10223,20223,128,-13,
224,h16,h1,10224,20224,128,-13,
225,h1,h2,10225,20225,128,-14,
226,h2,h3,10226,20226,128,-14,
227,h3,h4,10227,20227,128,-14,
228,h4,h5,10228,20228,128,-14,
229,h5,h6,10229,20229,128,-14,
230,h6,h7,10230,20230,128,-14,
231,h7,h8,10231,20231,128,-14,
232,h8,h9,10232,20232,128,-14,
233,h9,h10,10233,20233,128,-14,
234,h10,h11,10234,20234,128,-14,
235,h11,h12,10235,20235,128,-14,
236,h12,h13,10236,20236,128,-14,
237,h13,h14,10237,20237,128,-14,
238,h14,h15,10238,20238,128,-14,
239,h15,h16,10239,20239,128,-14,
240,h16,h1,10240,20240,128,-14,
241,h1,h2,10241,20241,128,-15,
242,h2,h3,10242,20242,128,-15,
243,h3,h4,10243,20243,128,-15,
244,h4,h5,10244,20244,128,-15,
245,h5,h6,10245,20245,128,-15,
246,h6,h7,10246,20246,128,-15,
247,h7,h8,10247,20247,128,-15,
248,h8,h9,10248,20248,128,-15,
249,h9,h10,10249,20249,128,-15,
250,h10,h11,10250,20250,128,-15,
251,h11,h12,10251,20251,128,-15,
252,h12,h13,10252,20252,128,-15,
253,h13,h14,10253,20253,128,-15,
254,h14,h15,10254,20254,128,-15,
255,h15,h16,10255,20255,128,-15,
256,h16,h1,10256,20256,128,-15,
257,h1,h2,10257,20257,128,-16,
258,h2,h3,10258,20258,128,-16,
259,h3,h4,10259,20259,128,-16,
260,h4,h5,10260,20260,128,-16,
261,h5,h6,10261,20261,128,-16,
262,h6,h7,10262,20262,128,-16,
263,h7,h8,10263,20263,128,-16,
264,h8,h9,10264,20264,128,-16,
265,h9,h10,10265,20265,128,-16,
266,h10,h11,10266,20266,128,-16,
267,h11,h12,10267,20267,128,-16,
268,h12,h13,10268,20268,128,-16,
269,h13,h14,10269,20269,128,-16,
270,h14,h15,10270,20270,128,-16,
271,h15,h16,10271,20271,128,-16,
272,h16,h1,10272,20272,128,-16,
273,h1,h2,10273,20273,128,-17,
274,h2,h3,10274,20274,128,-17,
275,h3,h4,10275,20275,128,-17,
276,h4,h5,10276,20276,128,-17,
277,h5,h6,10277,20277,128,-17,
278,h6,h7,10278,20278,128,-17,
279,h7,h8,10279,20279,128,-17,
280,h8,h9,10280,20280,128,-17,
281,h9,h10,10281,20281,128,-17,
282,h10,h11,10282,20282,128,-17,
283,h11,h12,10283,20283,128,-17,
284,h12,h13,10284,20284,128,-17,
285,h13,h14,10285,20285,128,-17,
286,h14,h15,10286,20286,128,-17,
287,h15,h16,10287,20287,128,-17,
288,h16,h1,10288,20288,128,-17,
289,h1,h2,10289,20289,128,-18,
290,h2,h3,10290,20290,128,-18,
291,h3,h4,10291,20291,128,-18,
292,h4,h5,10292,20292,128,-18,
293,h5,h6,10293,20293,128,-18,
294,h6,h7,10294,20294,128,-18,
295,h7,h8,10295,20295,128,-18,
296,h8,h9,10296,20296,128,-18,
297,h9,h10,10297,20297,128,-18,
298,h10,h11,10298,20298,128,-18,
299,h11,h12,10299,20299,128,-18,
300,h12,h13,10300,20300,128,-18,
301,h13,h14,10301,20301,128,-18,
302,h14,h15,10302,20302,128,-18,
303,h15,h16,10303,20303,128,-18,
304,h16,h1,10304,20304,128,-18,
305,h1,h2,10305,20305,128,-19,
306,h2,h3,10306,20306,128,-19,
307,h3,h4,10307,20307,128,-19,
308,h4,h5,10308,20308,128,-19,
309,h5,h6,10309,20309,128,-19,
310,h6,h7,10310,20310,128,-19,
311,h7,h8,10311,20311,128,-19,
312,h8,h9,10312,20312,128,-19,
313,h9,h10,10313,20313,128,-19,
314,h10,h11,10314,20314,128,-19,
315,h11,h12,10315,20315,128,-19,
316,h12,h13,10316,20316,128,-19,
317,h13,h14,10317,20317,128,-19,
318,h14,h15,10318,20318,128,-19,
319,h15,h16,10319,20319,128,-19,
320,h16,h1,10320,20320,128,-19,
321,h1,h2,10321,20321,128,-20,
322,h2,h3,10322,20322,128,-20,
323,h3,h4,10323,20323,128,-20,
324,h4,h5,10324,20324,128,-20,
325,h5,h6,10325,20325,128,-20,
326,h6,h7,10326,20326,128,-20,
327,h7,h8,10327,20327,128,-20,
328,h8,h9,10328,20328,128,-20,
329,h9,h10,10329,20329,128,-20,
330,h10,h11,10330,20330,128,-20,
331,h11,h12,10331,20331,128,-20,
332,h12,h13,10332,20332,128,-20,
333,h13,h14,10333,20333,128,-20,
334,h14,h15,10334,20334,128,-20,
335,h15,h16,10335,20335,128,-20,
336,h16,h1,10336,20336,128,-20,
337,h1,h2,10337,20337,128,-21,
338,h2,h3,10338,20338,128,-21,
339,h3,h4,10339,20339,128,-21,
340,h4,h5,10340,20340,128,-21,
341,h5,h6,10341,20341,128,-21,
342,h6,h7,10342,20342,128,-21,
343,h7,h8,10343,20343,128,-21,
344,h8,h9,10344,20344,128,-21,
345,h9,h10,10345,20345,128,-21,
346,h10,h11,10346,20346,128,-21,
347,h11,h12,10347,20347,128,-21,
348,h12,h13,10348,20348,128,-21,
349,h13,h14,10349,20349,128,-21,
350,h14,h15,10350,20350,128,-21,
351,h15,h16,10351,20351,128,-21,
352,h16,h1,10352,20352,128,-21,
353,h1,h2,10353,20353,128,-22,
354,h2,h3,10354,20354,128,-22,
355,h3,h4,10355,20355,128,-22,
356,h4,h5,10356,20356,128,-22,
357,h5,h6,10357,20357,128,-22,
358,h6,h7,10358,20358,128,-22,
359,h7,h8,10359,20359,128,-22,
360,h8,h9,10360,20360,128,-22,
361,h9,h10,10361,20361,128,-22,
362,h10,h11,10362,20362,128,-22,
363,h11,h12,10363,20363,128,-22,
364,h12,h13,10364,20364,128,-22,
365,h13,h14,10365,20365,128,-22,
366,h14,h15,10366,20366,128,-22,
367,h15,h16,10367,20367,128,-22,
368,h16,h1,10368,20368,128,-22,
369,h1,h2,10369,20369,128,-23,
370,h2,h3,10370,20370,128,-23,
371,h3,h4,10371,20371,128,-23,
372,h4,h5,10372,20372,128,-23,
373,h5,h6,10373,20373,128,-23,
374,h6,h7,10374,20374,128,-23,
375,h7,h8,10375,20375,128,-23,
376,h8,h9,10376,20376,128,-23,
377,h9,h10,10377,20377,128,-23,
378,h10,h11,10378,20378,128,-23,
379,h11,h12,10379,20379,128,-23,
380,h12,h13,10380,20380,128,-23,
381,h13,h14,10381,20381,128,-23,
382,h14,h15,10382,20382,128,-23,
383,h15,h16,10383,20383,128,-23,
384,h16,h1,10384,20384,128,-23,
385,h1,h2,10385,20385,128,-24,
386,h2,h3,10386,20386,128,-24,
387,h3,h4,10387,20387,128,-24,
388,h4,h5,10388,20388,128,-24,
389,h5,h6,10389,20389,128,-24,
390,h6,h7,10390,20390,128,-24,
391,h7,h8,10391,20391,128,-24,
392,h8,h9,10392,20392,128,-24,
393,h9,h10,10393,20393,128,-24,
394,h10,h11,10394,20394,128,-24,
395,h11,h12,10395,20395,128,-24,
396,h12,h13,10396,20396,128,-24,
397,h13,h14,10397,20397,128,-24,
398,h14,h15,10398,20398,128,-24,
399,h15,h16,10399,20399,128,-24,
400,h16,h1,10400,20400,128,-24,
401,h1,h2,10401,20401,128,-25,
402,h2,h3,10402,20402,128,-25,
403,h3,h4,10403,20403,128,-25,
404,h4,h5,10404,20404,128,-25,
405,h5,h6,10405,20405,128,-25,
406,h6,h7,10406,20406,128,-25,
407,h7,h8,10407,20407,128,-25,
408,h8,h9,10408,20408,128,-25,
409,h9,h10,10409,20409,128,-25,
410,h10,h11,10410,20410,128,-25,
411,h11,h12,10411,20411,128,-25,
412,h12,h13,10412,20412,128,-25,
413,h13,h14,10413,20413,128,-25,
414,h14,h15,10414,20414,128,-25,
415,h15,h16,10415,20415,128,-25,
416,h16,h1,10416,20416,128,-25,
417,h1,h2,10417,20417,128,-26,
418,h2,h3,10418,20418,128,-26,
419,h3,h4,10419,20419,128,-26,
420,h4,h5,10420,20420,128,-26,
421,h5,h6,10421,20421,128,-26,
422,h6,h7,10422,20422,128,-26,
423,h7,h8,10423,20423,128,-26,
424,h8,h9,10424,20424,128,-26,
425,h9,h10,10425,20425,128,-26,
426,h10,h11,10426,20426,128,-26,
427,h11,h12,10427,20427,128,-26,
428,h12,h13,10428,20428,128,-26,
429,h13,h14,10429,20429,128,-26,
430,h14,h15,10430,20430,128,-26,
431,h15,h16,10431,20431,128,-26,
432,h16,h1,10432,20432,128,-26,
433,h1,h2,10433,20433,128,-27,
434,h2,h3,10434,20434,128,-27,
435,h3,h4,10435,20435,128,-27,
436,h4,h5,10436,20436,128,-27,
437,h5,h6,10437,20437,128,-27,
438,h6,h7,10438,20438,128,-27,
439,h7,h8,10439,20439,128,-27,
440,h8,h9,10440,20440,128,-27,
441,h9,h10,10441,20441,128,-27,
442,h10,h11,10442,20442,128,-27,
443,h11,h12,10443,20443,128,-27,
444,h12,h13,10444,20444,128,-27,
445,h13,h14,10445,20445,128,-27,
446,h14,h15,10446,20446,128,-27,
447,h15,h16,10447,20447,128,-27,
448,h16,h1,10448,20448,128,-27,
449,h1,h2,10449,20449,128,-28,
450,h2,h3,10450,20450,128,-28,
451,h3,h4,10451,20451,128,-28,
452,h4,h5,10452,20452,128,-28,
453,h5,h6,10453,20453,128,-28,
454,h6,h7,10454,20454,128,-28,
455,h7,h8,10455,20455,128,-28,
456,h8,h9,10456,20456,128,-28,
457,h9,h10,10457,20457,128,-28,
458,h10,h11,10458,20458,128,-28,
459,h11,h12,10459,20459,128,-28,
460,h12,h13,10460,20460,128,-28,
461,h13,h14,10461,20461,128,-28,
462,h14,h15,10462,20462,128,-28,
463,h15,h16,10463,20463,128,-28,
464,h16,h1,10464,20464,128,-28,
465,h1,h2,10465,20465,128,-29,
466,h2,h3,10466,20466,128,-29,
467,h3,h4,10467,20467,128,-29,
468,h4,h5,10468,20468,128,-29,
469,h5,h6,10469,20469,128,-29,
470,h6,h7,10470,20470,128,-29,
471,h7,h8,10471,20471,128,-29,
472,h8,h9,10472,20472,128,-29,
473,h9,h10,10473,20473,128,-29,
474,h10,h11,10474,20474,128,-29,
475,h11,h12,10475,20475,128,-29,
476,h12,h13,10476,20476,128,-29,
477,h13,h14,10477,20477,128,-29,
478,h14,h15,10478,20478,128,-29,
479,h15,h16,10479,20479,128,-29,
480,h16,h1,10480,20480,128,-29,
481,h3,h5,30051,40051,128,25,None
482,h10,h16,30052,40052,128,50,None
483,h14,h13,30053,40053,128,75,None
484,h4,h1,30054,40054,128,128,None
485,h7,h1,30055,40055,128,125,None
486,h7,h1,30056,40056,128,150,None
487,h10,h11,30057,40057,128,200,None
488,h9,h14,30058,40058,128,250,None
489,h9,h11,30059,40059,128,300,None
490,h3,h4,30060,40060,128,350,None
491,h2,h13,30061,40061,128,25,None
492,h11,h2,30062,40062,128,50,None
493,h12,h6,30063,40063,128,75,None
494,h2,h9,30064,40064,128,128,None
495,h16,h7,30065,40065,128,125,None
496,h16,h8,30066,40066,128,150,None
497,h4,h11,30067,40067,128,200,None
498,h12,h2,30068,40068,128,250,None
499,h16,h6,30069,40069,128,300,None
490,h13,h2,30070,40070,128,350,None
